interaction_id,workspace_id,panelist_id,project_id,agent_id_hash,issue_type,interaction_date,channel,issue_description,resolution,resolved,resolution_time_hours,satisfaction_score
INT-20240115-001,WS-001,10847,PRJ-001,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Technical Support,2024-01-15T09:23:45+00:00,Email,"Candidato non riesce ad accedere al sondaggio, riceve errore 404",Reset password e invio nuovo link. Issue risolta.,True,2.5,5
INT-20240118-002,WS-001,10923,PRJ-001,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Payment Inquiry,2024-01-18T14:30:00+00:00,Chat,Domanda su quando verrà accreditato l'incentivo per il sondaggio completato,Spiegato che gli incentivi vengono processati entro 15 giorni lavorativi,True,0.25,4
INT-20240120-003,WS-001,10847,PRJ-001,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,General Question,2024-01-20T16:45:12+00:00,Phone,Il panelista chiede informazioni sulla privacy e come vengono utilizzati i suoi dati,Fornita informativa privacy e spiegato processo di anonimizzazione,True,0.5,5
INT-20240125-004,WS-002,11204,PRJ-003,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-01-25T10:15:33+00:00,Email,"Sondaggio troppo lungo, il panelista ha abbandonato dopo 30 minuti","Scuse per l'inconveniente, offerto bonus compensativo",True,4.0,3
INT-20240128-005,WS-001,11456,PRJ-008,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Technical Support,2024-01-28T11:20:00+00:00,Chat,"Video del focus group non si carica, problema di compatibilità browser",Suggerito di usare Chrome invece di Internet Explorer. Problema risolto.,True,1.0,4
INT-20240201-006,WS-001,11589,,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Profile Update,2024-02-01T15:00:00+00:00,Phone,Richiesta di aggiornamento indirizzo email e numero di telefono,Profilo aggiornato con successo nel sistema,True,0.5,
INT-20240205-007,WS-002,10923,,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Survey Invitation,2024-02-05T09:30:22+00:00,Email,Panelista segnala di non ricevere più inviti ai sondaggi,Verificato profilo: era stato erroneamente disattivato. Riattivato.,True,3.0,5
INT-20240208-008,WS-002,11789,PRJ-013,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Technical Support,2024-02-08T13:45:00+00:00,Chat,Errore durante il caricamento di foto per il task del sondaggio qualitativo,Problema di dimensione file. Spiegato come ridimensionare. Issue risolta.,True,1.5,4
INT-20240212-009,WS-001,12003,,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Payment Inquiry,2024-02-12T10:00:00+00:00,Phone,Domanda su modalità di pagamento incentivi: preferisce bonifico invece di voucher,Aggiornata preferenza di pagamento nel profilo,True,0.75,5
INT-20240215-010,WS-002,10847,PRJ-018,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-02-15T14:20:11+00:00,Email,Panelista lamenta di essere stato escluso da un sondaggio dopo le domande di screening,Spiegato criterio di eligibilità. Non può partecipare a questo specifico progetto.,True,2.0,2
INT-20240220-011,WS-001,12156,,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,General Question,2024-02-20T16:30:00+00:00,Chat,Richiesta informazioni su come funziona il programma fedeltà e i punti accumulati,Spiegato sistema punti e come riscattarli. Inviato link al regolamento.,True,0.5,4
INT-20240225-012,WS-002,11204,PRJ-024,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Technical Support,2024-02-25T11:15:00+00:00,Phone,"Impossibile completare sondaggio mobile, app si blocca all'ultima domanda",Bug confermato e segnalato al team tecnico. Compenso comunque erogato.,True,5.0,4
INT-20240228-013,WS-001,12389,,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Profile Update,2024-02-28T09:00:00+00:00,Email,Richiesta di rimozione dal panel per mancanza di tempo,Profilo sospeso come richiesto. Possibilità di riattivazione in futuro.,True,1.0,
INT-20240303-014,WS-002,11456,PRJ-006,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Payment Inquiry,2024-03-03T13:45:30+00:00,Chat,Non ha ricevuto il voucher Amazon promesso per il sondaggio completato 3 settimane fa,Verificato: voucher era stato inviato a vecchia email. Reinviato a email corretta.,True,2.0,3
INT-20240308-015,WS-003,12567,PRJ-014,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-03-08T10:20:00+00:00,Email,Sondaggio conteneva domande troppo personali su situazione finanziaria,Scuse per il disagio. Spiegato che tutte le risposte sono anonime e aggregate.,True,3.5,3
INT-20240312-016,WS-002,10923,,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,General Question,2024-03-12T15:30:00+00:00,Phone,Domanda su quante volte può partecipare a sondaggi in un mese,"Spiegato che non c'è limite, dipende dall'eligibilità per i vari progetti",True,0.25,5
INT-20240315-017,WS-001,11789,PRJ-008,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Technical Support,2024-03-15T11:00:00+00:00,Chat,"Link al focus group online Zoom non funziona, errore di autenticazione",Nuovo link generato e inviato via email. Panelista connessa con successo.,True,0.5,5
INT-20240320-018,WS-001,12003,,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Survey Invitation,2024-03-20T09:15:44+00:00,Email,Richiesta di partecipare a più sondaggi nel settore costruzioni/immobiliare,Aggiunto tag professionale al profilo per targeting specifico,True,1.5,5
INT-20240325-019,WS-001,12789,PRJ-005,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Payment Inquiry,2024-03-25T14:00:00+00:00,Phone,Richiesta fattura per incentivo ricevuto (partita IVA),"Spiegato che gli incentivi sono corrispettivi, non richiedono fattura. Info fiscali fornite.",True,1.0,4
INT-20240328-020,WS-001,10847,,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,General Question,2024-03-28T16:45:00+00:00,Chat,Domanda su come referral program: può invitare amici?,Spiegato programma refer-a-friend con bonus per entrambi. Link di invito inviato.,True,0.5,5
INT-20250815-021,WS-002,11204,PRJ-024,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Complaint,2025-08-15T10:30:00+00:00,Email,"Panelista segnala problemi con il nuovo portale, non riesce a visualizzare lo storico sondaggi",Segnalato al team tecnico. Fix in corso.,False,,5
INT-20240401-022,WS-001,10847,PRJ-001,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Technical Support,2024-04-01T00:00:00+00:00,Phone,Panelista con stesso ID ma email e telefono diversi - possibile errore nel sistema,Verificato: si tratta dello stesso panelista con dati di contatto aggiornati,True,2.0,4
INT-20240405-023,WS-001,13001,PRJ-033,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Technical Support,2024-04-05T10:30:00+00:00,Email,"Sondaggio non si visualizza correttamente su iPhone, layout spostato",Problema noto con iOS 17.4. Workaround: usare Safari invece di Chrome.,True,1.5,4
INT-20240408-024,WS-003,13102,PRJ-034,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Payment Inquiry,2024-04-08T09:15:00+00:00,Chat,Richiesta di cambio metodo di pagamento da voucher a PayPal,PayPal non disponibile al momento. Proposto bonifico come alternativa.,True,0.5,3
INT-20240410-025,WS-002,13205,PRJ-036,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-04-10T14:45:22+00:00,Email,Il panelista ha completato il sondaggio ma il sistema non ha registrato le risposte,Verificato: sessione scaduta dopo 45 minuti. Riaperto sondaggio con estensione timeout.,True,6.0,2
INT-20240412-026,WS-003,11589,PRJ-034,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Survey Invitation,2024-04-12T16:00:00+00:00,Phone,Panelista interessata a partecipare a focus group su prodotti per bambini,Inserita nella lista di reclutamento per PRJ-034. Contatto previsto la prossima settimana.,True,0.25,5
INT-20240415-027,WS-003,13350,PRJ-038,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,General Question,2024-04-15T11:30:00+00:00,Chat,Domanda sulla durata prevista del community online a cui partecipa,La community dura 3 mesi. Mancano ancora 6 settimane alla chiusura.,True,0.25,5
INT-20240418-028,WS-003,12567,,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Profile Update,2024-04-18T06:45:00+00:00,Email,Richiesta cancellazione account GDPR - right to be forgotten,Avviata procedura di cancellazione. Completamento entro 30 giorni come da normativa.,True,24.0,
INT-20240420-029,WS-001,13001,PRJ-037,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Payment Inquiry,2024-04-20T13:20:00+00:00,Phone,Non ha ricevuto il bonifico per il sondaggio completato il mese scorso,Verificato: bonifico in stato pending per IBAN errato. Corretto e riprocessato.,True,48.0,3
INT-20240422-030,WS-002,13450,PRJ-039,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Technical Support,2024-04-22T10:00:00+00:00,Chat,"Problema con il questionario in tedesco, alcune domande mostrano caratteri corrotti","Bug di encoding UTF-8 nel questionario DE. Fix applicato, reinviato link.",True,3.0,4
INT-20240425-031,WS-001,12003,PRJ-045,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,General Question,2024-04-25T15:00:00+00:00,Phone,Chiede se può partecipare al sondaggio sulla ristrutturazione casa essendo professionista del settore,Confermato: il sondaggio è aperto anche ai professionisti. Inviato link di partecipazione.,True,0.5,5
INT-20240428-032,WS-003,13550,PRJ-049,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Complaint,2024-04-28T14:30:00+00:00,Email,"Sondaggio sulle scommesse sportive non appropriato, il panelista è minorenne",Errore nel targeting: il profilo indicava età errata. Corretto profilo e rimosso dal progetto.,True,2.0,2
INT-20240502-033,WS-001,13650,,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Survey Invitation,2024-05-02T09:00:00+00:00,Email,Richiesta di essere inclusa nei sondaggi B2B come decision maker aziendale,"Aggiunto profilo B2B: CFO, settore manifatturiero, 200+ dipendenti.",True,1.0,5
INT-20240505-034,WS-002,13205,PRJ-036,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Payment Inquiry,2024-05-05T16:45:00+00:00,Chat,Chiede conferma dell'incentivo promesso per il sondaggio AI chatbot completato,"Confermato: €15 voucher Amazon in elaborazione, arrivo entro 10 giorni lavorativi.",True,0.25,5
INT-20240508-035,WS-002,10923,PRJ-050,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Technical Support,2024-05-08T11:30:15+00:00,Phone,App mobile si chiude durante il caricamento del sondaggio smartwatch,Versione app non aggiornata. Suggerito aggiornamento a v4.2.1. Problema risolto.,True,1.0,4
INT-20240510-036,WS-001,13750,PRJ-048,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,General Question,2024-05-10T00:00:00+00:00,Chat,Chiede come funziona il sondaggio sulla diversità e se le risposte sono davvero anonime,Spiegato processo di anonimizzazione e fornita informativa privacy completa.,True,0.5,4
INT-20240512-037,WS-002,12789,PRJ-039,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-05-12T14:00:00+00:00,Phone,Ricevuto invito a sondaggio su criptovalute nonostante avesse indicato di non essere interessato,Aggiornato profilo escludendo categoria Financial Services/Crypto. Scuse per l'inconveniente.,True,1.5,3
